,Naive Bayes,Logistic Regression,K-NN,Linear SVM,CART,Random Forest
Accuracy,0.73,0.71,0.61,0.72,0.71,0.72
Precission,0.6842105263157895,0.7586206896551724,0.676056338028169,0.7526881720430108,0.7472527472527473,0.8507462686567164
Recall,0.883495145631068,0.6407766990291263,0.46601941747572817,0.6796116504854369,0.6601941747572816,0.5533980582524272
F1 Score,0.7711864406779663,0.6947368421052632,0.5517241379310345,0.7142857142857143,0.7010309278350515,0.6705882352941177
